Year,Name,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas
2019,Nestor,7.77,60,150000000.0,3,"Central America, Yucatan Peninsula, Southeastern United States"
2020,Arthur,5.35,60,112000.0,0,"Cuba, South Florida, The Bahamas, North Carolina, Mid-Atlantic United States, Bermuda"
2020,Bertha,7.4,50,130000.0,1,Eastern United States (especially Florida and South Carolina)
2020,Cristobal,24.48,60,865000000.0,46,"Central America (especially Guatemala, El Salvador and Honduras), Mexico, Central United States, Great Lakes Region, Eastern Canada"
2020,Fay,4.58,60,220000000.0,6,"Eastern Southeastern United States, East Coast of the United States, Atlantic Canada"
2020,Hanna,15.0,90,1200000000.0,9,"Cuba, Hispaniola, Gulf Coast of the United States (mainly Texas), Mexico"
2020,Marco,11.81,75,35000000.0,0,"Central America, western Caribbean, Yucatán Peninsula, Gulf Coast of the United States"
2020,Laura,10.0,150,23300000000.0,81,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States"
2020,Sally,22.5,110,7300000.0,9,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States"
2020,Gamma,15.0,75,100000000.0,6,"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida"
2020,Delta,15.0,140,3090000000.0,6,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Eastern United States"
2020,Zeta,2.43,115,4400000000.0,9,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom"
2020,Eta,26.33,150,8300000000.0,275,"San Andrés, Jamaica, Central America, Cayman Islands, Cuba, Bahamas, Southeastern United States"
2021,Elsa,8.0,85,1200000000.0,13,"Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada"
2021,Fred,9.0,65,1300000000.0,7,"Lesser Antilles, Greater Antilles, Eastern United States (particularly Florida and North Carolina), Southern Quebec, The Maritimes"
2021,Mindy,4.85,60,75200000.0,23,"Colombia, Central America, Mexico, Southeastern United States"
2022,Alex,11.9,70,,4,"Yucatán Peninsula, western Cuba, Florida, the Bahamas, Bermuda"
2022,Ian,31.52,160,113000000000.0,161,"Trinidad and Tobago, Venezuela, Colombia, ABC islands, Jamaica, Cayman Islands, Cuba, Southeast United States (especially Florida and The Carolinas)"
2022,Nicole,8.0,75,1000000000.0,11,"Dominican Republic, Puerto Rico, The Bahamas, Southeastern United States"
2023,Idalia,5.5,130,3600000000.0,12,"Yucatán Peninsula, Cayman Islands, Western Cuba, Southeastern United States, Bermuda, Atlantic Canada"
2023,Lee,6.5,165,50000000.0,4,"Bermuda, Northeastern United States, Eastern Canada"
